P,Ms,Rp,Sp
11.89520511,1,1.22098298,83.01
1.31155557,0.98,1.5633999,1695.421598
7.6847716,0.93,1.56122773,108.07
7.1334,1.04,2.274487831,409.4687018
8.9187,1.04,2.463350099,304.0050098
2.71407755,0.98,1.832546187,1063.771348
9.42887179,1.15,3.377708739,255.74
4.08899022,1.15,1.75575036,778.59
13.17562,1.29,3.223936438,234.9417252
4.44448017,1.06,1.590375207,492.4762459
39.31370163,1.01,1.957458409,20.04
1.15116651,0.56,1.605741939,223.0600227
4.46975774,0.98,2.391744216,337.47
37.94563,0.9,2.752013029,11.54688492
5.50860439,0.95,1.41154555,191.81
1.75583533,0.91,1.749846108,695.1825041
20.35972599,0.73,2.315701752,22.37946924
34.2685705,0.86,2.259641073,10.17
6.766589,0.92,1.77462321,91.78993995
85.7350285,1.03,3.12873592,7.44184285
10.495711,1.11,1.77902487,298.09
21.869741,1.11,1.92063879,112.13
7.03902374,1.16,3.546304578,361.4506745
10.99469878,0.71,2.080074695,19.26
13.93290318,1.17,1.504215757,127.24
7.156804,0.83,2.47421156,88.64486241
17.648312,0.83,2.321533281,26.60775121
11.903515,1.12,3.051587146,118.7335055
34.035257,1.12,3.272125463,29.25734249
14.20443009,0.87,2.692941325,43.3212785
59.4970952,0.78,2.684747876,3.061295018
11.1726994,1.05,1.339825032,296.92
2.53573424,1.05,1.405659065,2144.55
1.729366,0.86,2.065053107,609.02
4.180043,0.86,3.937663824,187.2
31.1750448,1.01,1.413631454,21.88
5.195528,1,1.232041104,422.1
8.01041,1,2.023821526,237.43
27.666313,1,2.1242088,45.42
42.473269,1,2.15674069,25.67
2.23749275,0.8,1.464929803,336.67
1.611865,1.04,1.833015177,4097.32
3.071571,1.04,1.780491799,1742.71
5.868075,1.04,3.96125604,732.6
12.53248465,0.93,3.957838606,94.33937634
5.08274652,0.95,1.570432467,185.77
3.292781,1.05,1.815973216,1589.01
9.693201,1.05,2.407192308,376.21
17.14647302,0.98,2.49920444,67.38562437
2.13194651,0.92,1.594415471,621.845242
4.09357325,1.03,2.401508326,395.7774303
18.93054959,0.81,2.155185655,16.1
2.61703254,0.75,1.70443575,196.13
20.4998,1.05,3.443010284,67.67
13.7815,0.54,1.637413411,6.850482516
23.0923,0.54,1.456655815,3.442159506
10.37168453,0.83,2.899261046,42.49
55.6738309,0.81,2.30613423,4.72
3.27582262,1.13,2.790031033,1364.76
9.61375356,0.98,3.734741486,202.78
4.40966548,1.1,1.674125631,568.38
14.53409958,0.55,1.730849736,7.34
18.0540381,0.93,1.654677598,41.51
4.59489604,1.21,1.597137209,844.75
18.7546998,0.64,2.295895804,9.714639751
2.29503623,0.98,1.259175569,647.26
4.30655689,1.22,2.434906589,760.52
15.87364565,0.93,1.804362246,38.23
10.12804789,0.95,2.132031462,95.45
4.921355,0.86,2.386109548,123.4
7.06424,0.86,2.283863957,76.2
17.76080053,0.55,2.426691716,7.512030297
4.35409304,0.86,1.338972726,195.8140731
2.93658468,0.86,1.405452594,331.0682014
13.78730011,1.07,1.231789783,150.64
6.8921299,1.29,1.366989554,454.45
2.46236,1.07,1.56906732,833.47
4.822962,1.07,2.130684559,339.54
2.240508,0.59,1.520084668,164.78
6.827766,0.59,1.700168392,37.38
38.5760994,1.17,2.401656257,34.77
2.94902905,0.78,1.553331982,206.87
34.3511874,1.02,2.782227582,26.93
37.10110092,0.89,3.587141978,18.95
11.87456832,0.95,1.362643886,77.56
39.67679977,0.81,2.185451321,11.85
9.182417,1.21,1.4161392,429.81
37.8144514,1.22,3.173576393,46.3
8.306,0.92,1.976644251,107.03
12.513,0.92,2.06979234,61.93
1.10446351,0.81,1.728321431,815.41
3.132924,0.82,1.696805399,201.49
5.925003,0.82,3.228007587,86.33
11.349393,0.82,2.888277757,36.29
13.28535633,1.28,2.586518235,147.05
7.05395,0.94,2.117723081,117.33
2.80012012,0.69,2.047894623,197.81
9.939632,0.81,1.474590387,61.67965102
17.738506,0.81,2.094572872,28.49353044
5.94504102,0.84,2.407895717,119.4628844
1.25275217,1.11,1.699842276,2399.97
6.475434,0.79,1.860068784,69.57
16.85837,0.79,2.225552582,19.4
49.499875,0.79,2.508730663,4.62
16.087845,0.93,2.452795138,48.66
41.749882,0.93,3.219710138,13.64
6.88705,1.08,1.352511279,478.21
12.8159,1.08,2.265331005,208.66
35.3331,1.08,1.660128183,53.98
31.0033814,0.97,2.817155432,25.22116536
2.139542,0.96,1.55431796,821.89
22.951,1.32,2.265737941,154.71
10.65276707,0.85,2.264731113,56.7320525
53.5991044,1.05,2.674096532,18.04
2.936532,0.94,1.534118342,285.64
8.014927,0.94,1.557241086,74.89
18.42794624,0.83,2.068081993,16.88
35.01190186,1.04,2.580304635,31.35
9.034199,0.73,1.822189908,37.32
45.902733,0.73,1.51338236,4.27
22.9221266,1.06,1.786112727,84.83
10.86060047,1.09,2.250076913,356.24
26.85328322,0.87,2.506223718,13.96
15.77979614,0.98,2.425540014,66.27
11.35011917,0.59,2.542921796,15.70080576
10.43547805,0.9,1.395703628,75.96
42.9495649,0.88,2.795200311,9.55
1.28707676,0.63,2.077573905,282.5305079
27.6655226,1.05,2.556252207,48.95
